"","iso_code","continent","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","datestime"
"184","SYR","Asia",106,20,4,0,6.057,1.143,0.229,0,222760.246662944,11590.3171981826,18.5326948050684,0.478731413513021,9322.55842395497,0.416967308344982,71.3,17500657,591.597244444444,21.7,6.58471111111111,2.577,22938.0201111111,6.75483870967742,376.264,9.32911111111111,4.68974358974359,39.0564102564103,70.598,1.5,147
"185","TWN","Asia",108,31,1,0,4.535,1.302,0.042,0,21376,1362,0.898,0.057,755,0.032,27.78,23816775,591.597244444444,42.2,6.58471111111111,8.353,22938.0201111111,6.75483870967742,103.957,9.32911111111111,4.68974358974359,39.0564102564103,72.0893461538462,2.9053488372093,79
"186","TJK","Asia",3563,463,47,1,373.572,48.544,4.928,0.105,222760.246662944,11590.3171981826,18.5326948050684,0.478731413513021,9322.55842395497,0.416967308344982,48.15,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,4.68974358974359,39.0564102564103,72.704,4.8,150
"187","TZA","Africa",480,174,16,6,8.036,2.913,0.268,0.1,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,50,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,121
"188","THA","Asia",1651,263,10,3,23.653,3.768,0.143,0.043,275532.4,11590.3171981826,3.9474,0.478731413513021,6333.98,0.09082,68.06,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,91
"189","TLS","Asia",18,12,0,0,13.652,9.102,0,0,222760.246662944,11590.3171981826,18.5326948050684,0.478731413513021,9322.55842395497,0.416967308344982,77.78,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,108
"190","TGO","Africa",298,35,11,0,35.996,4.228,1.329,0,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,71.5864093408156,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,138
"191","TTO","North America",49,40,0,0,35.013,28.582,0,0,725110.390214974,104336.118421828,28.4241561972426,0.51562571519761,70118.6853920516,0.419774732524589,54.63,1399491,266.886,36.2,10.014,5.819,28763.071,8.3,228.467,10.97,7.73125,20.1666666666667,89.443,3,82
"192","TUN","Africa",455,61,13,3,38.499,5.161,1.1,0.254,6693,749,0.566,0.063,572,0.048,90.74,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,94
"193","TUR","Asia",52167,5138,1101,95,618.539,60.921,13.054,1.126,376100,35720,4.459,0.424,27808,0.33,80.56,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,72.0893461538462,2.81,103
"194","TCA","North America",8,3,1,0,206.622,77.483,25.828,0,725110.390214974,104336.118421828,28.4241561972426,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,38718,37.312,33.128,9.945,6.22796,21655.2437037037,8.3,197.066884615385,10.8809677419355,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,98
"195","UGA","Africa",413,84,0,0,9.029,1.836,0,0,97205,1319,2.125,0.029,1660,0.036,80.56,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,152
"196","UKR","Europe",23204,822,696,27,530.574,18.796,15.914,0.617,348279,10961,7.964,0.251,10081,0.231,83.33,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,94.2155,8.8,151
"197","ARE","Asia",27892,994,241,4,2820.108,100.501,24.367,0.404,222760.246662944,11590.3171981826,18.5326948050684,0.478731413513021,9322.55842395497,0.416967308344982,72.22,9890400,112.442,34,1.144,0.526,67293.483,6.75483870967742,317.84,17.26,1.2,37.4,72.0893461538462,1.2,144
