"","txsize","txvirtualsize","txinputs_count","txoutputs_count","txinput_val","txoutput_val","txfee","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent"
"66",440,440,2,2,5.7e+07,5.7e+07,0,0.04,0.53,0.285,0.57,0.346482322781408,0.12005,0.07,0.5,0.285,0.57,0.304055915910215,0.09245
"67",438,438,2,2,1e+07,1e+07,0,0.03,0.07,0.05,0.1,0.0282842712474619,8e-04,0.05,0.05,0.05,0.1,0,0
"68",225,225,1,1,1e+06,1e+06,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,0
"69",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"70",258,258,1,2,3e+06,3e+06,0,0.01,0.02,0.015,0.03,0.00707106781186548,5e-05,0.03,0.03,0.03,0.03,0,0
"71",259,259,1,2,6e+06,6e+06,0,0.02,0.04,0.03,0.06,0.014142135623731,2e-04,0.06,0.06,0.06,0.06,0,0
"72",223,223,1,1,1e+06,1e+06,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,0
"73",259,259,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"74",765,765,4,1,4e+06,4e+06,0,0.04,0.04,0.04,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"75",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"76",258,258,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"77",404,404,2,1,4e+06,4e+06,0,0.04,0.04,0.04,0.04,0,0,0.02,0.02,0.02,0.04,0,0
"78",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"79",258,258,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"80",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"81",259,259,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"82",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"83",257,257,1,2,5e+06,5e+06,0,0.01,0.04,0.025,0.05,0.0212132034355964,0.00045,0.05,0.05,0.05,0.05,0,0
"84",258,258,1,2,3.6e+07,3.6e+07,0,0.1,0.26,0.18,0.36,0.113137084989848,0.0128,0.36,0.36,0.36,0.36,0,0
"85",258,258,1,2,2.7e+07,2.7e+07,0,0.01,0.26,0.135,0.27,0.176776695296637,0.03125,0.27,0.27,0.27,0.27,0,0
"86",258,258,1,2,3.6e+07,3.6e+07,0,0.1,0.26,0.18,0.36,0.113137084989848,0.0128,0.36,0.36,0.36,0.36,0,0
"87",258,258,1,2,2.7e+07,2.7e+07,0,0.01,0.26,0.135,0.27,0.176776695296637,0.03125,0.27,0.27,0.27,0.27,0,0
"88",258,258,1,2,2.7e+07,2.7e+07,0,0.01,0.26,0.135,0.27,0.176776695296637,0.03125,0.27,0.27,0.27,0.27,0,0
"89",258,258,1,2,1.3e+07,1.3e+07,0,0.05,0.08,0.065,0.13,0.0212132034355964,0.00045,0.13,0.13,0.13,0.13,0,0
"90",258,258,1,2,9e+06,9e+06,0,0.01,0.08,0.045,0.09,0.0494974746830583,0.00245,0.09,0.09,0.09,0.09,0,0
"91",616,616,3,2,2.056e+09,2.056e+09,0,0.08,20.48,10.28,20.56,14.4249783362056,208.08,2.56,10,6.853333333,20.56,3.85026406020851,14.8245333333333
"92",257,257,1,2,1.3e+07,1.3e+07,0,0.05,0.08,0.065,0.13,0.0212132034355964,0.00045,0.13,0.13,0.13,0.13,0,0
"93",259,259,1,2,9e+06,9e+06,0,0.01,0.08,0.045,0.09,0.0494974746830583,0.00245,0.09,0.09,0.09,0.09,0,0
