,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
58,4108792.5,2234750.0,0.0,0.0,0.0,6290106.5,12533939.0,0.0,0.0,10240332.0,9654363.0,8359347.0,3872198.0,925772.44,4504252.5,12373547.0
59,439229980.0,238883300.0,0.0,0.0,0.0,672400200.0,1339871500.0,0.0,0.0,1094662400.0,1032021250.0,893596200.0,413918900.0,98980950.0,481478140.0,1322731800.0
60,232363.39,126439.63,0.0,0.0,0.0,355776.84,708862.9,0.0,0.0,579255.3,546126.8,472824.9,219075.39,52284.562,254855.11,699763.2
61,671243900.0,365068130.0,0.0,0.0,0.0,1027582140.0,2047629600.0,0.0,0.0,1672895400.0,1577164500.0,1365620600.0,632563300.0,151264220.0,735809000.0,2021436200.0
62,283381.1,154188.97,0.0,0.0,0.0,433880.53,864494.3,0.0,0.0,706409.3,666005.3,576622.25,267157.16,63778.387,310785.5,853402.56
63,194454460.0,105757530.0,0.0,0.0,0.0,297683330.0,593183360.0,0.0,0.0,484625900.0,456893250.0,395610530.0,183249060.0,43819852.0,213158670.0,585595260.0
64,10088088.0,5486641.5,0.0,0.0,0.0,15443551.0,30773754.0,0.0,0.0,25142022.0,23703286.0,20523940.0,9506863.0,2273252.0,11058578.0,30380062.0
65,22337802.0,12148886.0,0.0,0.0,0.0,34196212.0,68141540.0,0.0,0.0,55671230.0,52485470.0,45445576.0,21050720.0,5033672.5,24486624.0,67269816.0
66,41030348.0,22296034.0,0.0,0.0,0.0,62761484.0,125172900.0,0.0,0.0,102219690.0,96389440.0,83435930.0,38609596.0,9307237.0,44955596.0,123558200.0
67,380319.47,206905.5,0.0,0.0,0.0,582275.06,1160201.4,0.0,0.0,947990.4,893760.3,773832.7,358501.44,85629.19,417037.2,1145329.4
68,400679.8,217971.34,0.0,0.0,0.0,613437.06,1222306.2,0.0,0.0,998715.56,941580.5,815244.56,377676.78,90226.41,439339.6,1206643.4
69,1914212.2,1041166.94,0.0,0.0,0.0,2930482.0,5839359.0,0.0,0.0,4770874.5,4497887.5,3894520.8,1804046.5,431256.03,2098532.0,5764617.0
70,20790354.0,11307263.0,0.0,0.0,0.0,31827276.0,63421044.0,0.0,0.0,51814588.0,48849516.0,42297324.0,19592422.0,4684983.5,22790284.0,62609720.0
71,743131460.0,404165000.0,0.0,0.0,0.0,1137632000.0,2266921500.0,0.0,0.0,1852055600.0,1746072200.0,1511873300.0,700307700.0,167463740.0,814611260.0,2237922600.0
72,55473052.0,30170110.0,0.0,0.0,0.0,84921710.0,169220640.0,0.0,0.0,138251890.0,130340500.0,112857960.0,52276544.0,12500708.0,60809010.0,167055940.0
73,4213366.0,2291648.5,0.0,0.0,0.0,6450218.5,12852957.0,0.0,0.0,10501013.0,9900134.0,8572134.0,3970785.8,949307.44,4618939.5,12688471.0
